paper_pmcid,paper_pmid,paper_title,paper_year,paper_url_pmc,paper_url_pubmed,dataset_accession,dataset_osdr_view,dataset_osdr_api,mission,organism,assay,project_type,data_source,evidence_type,confidence,evidence_notes,mined_mission_terms,mined_organism_terms,mined_assay_terms
PMC6387434,nan,GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,2003.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-109,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-109/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-109/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR13538;RR15062;RR2289;RR2482;RR2598;RR3100;RR3183;Shuttle,;mice;mouse,Microarray;RNAseq;Transcriptomic;metabolomics;microarray;proteomics;transcriptomic;transcriptomics
PMC6387434,nan,GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,2003.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-117,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-117/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-117/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR13538;RR15062;RR2289;RR2482;RR2598;RR3100;RR3183;Shuttle,;mice;mouse,Microarray;RNAseq;Transcriptomic;metabolomics;microarray;proteomics;transcriptomic;transcriptomics
PMC6387434,nan,GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,2003.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-52,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-52/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-52/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR13538;RR15062;RR2289;RR2482;RR2598;RR3100;RR3183;Shuttle,;mice;mouse,Microarray;RNAseq;Transcriptomic;metabolomics;microarray;proteomics;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-100,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-100/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-100/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-111,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-111/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-111/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-161,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-161/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-161/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-162,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-162/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-162/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-163,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-163/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-163/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-168,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-168/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-168/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-242,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-242/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-242/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-47,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-47/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-47/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,nan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-73,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-73/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-73/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-111,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-111/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-111/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-21,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-21/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-21/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-25,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-25/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-25/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-334,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-334/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-334/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-335,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-335/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-335/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-336,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-336/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-336/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-337,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-337/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-337/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-4,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-4/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-4/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-48,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-48/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-48/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,2020.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,https://pubmed.ncbi.nlm.nih.gov/nan/,GLDS-61,https://visualization.osdr.nasa.gov/biodata/dataset/GLDS-61/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/GLDS-61/,,,,,,explicit_unvalidated,0.8,Accession string found in article text,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics
