title,pmc_url,pmcid,pmid,pub_year,found_accessions_text,mission_terms_text,organism_terms_text,assay_terms_text,validated_datasets,fallback_osdr_candidates,pubmed_meta
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,PMC4136787,,2014,,Bion-M 1;Bion-M1;Bion-m 1;ISS;Shuttle,Mice;Mouse;Mus musculus;mice;mouse;s,y,[],[],{}
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,PMC3630201,,2013,,ISS;shuttle,;Drosophila;Mice;Mouse;mice;mouse;s,y,[],[],{}
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,PMC11988870,,2025,,BION-M1;ISS,Mice;Mouse;mice,RNA-Seq;Transcriptomic;transcriptomic;y,[],[],{}
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,PMC7998608,,,,,;Mouse;mice;mouse,y,[],[],{}
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,PMC5587110,,2017,,ISS;Shuttle,Arabidopsis thaliana;Mice;Mouse;mouse,Microarray,[],[],{}
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,PMC8396460,,2021,,ISS;RR14667;Shuttle;shuttle,;Drosophila;Mice;Mouse;mice;mouse;s,transcriptomic;transcriptomics,[],[],{}
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,PMC5666799,,2017,,RR13579;RR14414;RR1463;RR14685;RR14754;RR1754;RR2433,Mice;mice;mouse,,[],[],{}
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,PMC5460236,,2017,,Bion-M 1;Bion-M1;ISS;RR3309;RR3339;Shuttle;iss;shuttle,Drosophila;Mice;Mouse;mice;mouse;s,,[],[],{}
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,PMC6222041,,,,,;Mouse;mice;mouse;s,,[],[],{}
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,PMC6813909,,2019,,,Mouse;mice;mouse,,[],[],{}
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,PMC4095884,,,,,;Mice;mice;mouse,y,[],[],{}
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,PMC3040128,,2011,,,Arabidopsis thaliana,Transcriptomic;microarray;y,[],[],{}
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,PMC3177255,,2011,,,Arabidopsis thaliana,y,[],[],{}
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,PMC11500582,,2024,,,Arabidopsis thaliana,RNA-seq;y,[],[],{}
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,PMC5387210,,2017,,,Arabidopsis thaliana;Mouse;arabidopsis thaliana;mouse,Proteomic;proteomic;y,[],[],{}
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,PMC4642138,,2015,,,Arabidopsis thaliana,proteomic;y,[],[],{}
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,PMC5387210,,2017,,,Arabidopsis thaliana;Mouse;arabidopsis thaliana;mouse,Proteomic;proteomic;y,[],[],{}
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,PMC2915878,,,,,Drosophila,,[],[],{}
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,PMC3901686,,2014,,ISS;shuttle,Arabidopsis thaliana;Drosophila;zebrafish,Microarray;microarray,[],[],{}
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,PMC6985101,,,,,mouse,Proteomics,[],[],{}
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,PMC6387434,,2003,GLDS-109;GLDS-117;GLDS-52,ISS;RR13538;RR15062;RR2289;RR2482;RR2598;RR3100;RR3183;Shuttle,;mice;mouse,Microarray;RNAseq;Transcriptomic;metabolomics;microarray;proteomics;transcriptomic;transcriptomics,[],[],{}
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,PMC6371294,,2018,,,,,[],[],{}
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,PMC7072278,,,GLDS-100;GLDS-111;GLDS-161;GLDS-162;GLDS-163;GLDS-168;GLDS-242;GLDS-47;GLDS-73,Bion-M1;ISS;RR1;RR13538;RR13878;RR14222;RR14822;RR15062;RR1737;RR3031;RR3100;RR3309;Rodent Research;Shuttle;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;Transcriptomic;metabolomic;metabolomics;microarray;proteomic;transcriptomic;transcriptomics,[],[],{}
